阿呆に付ける薬なし, 阿呆, aho-, ahou, に付ける薬なし, 愚かな者を教え導く方法はない。ばかに付ける薬はない。
阿弥陀の光も金次第, 阿弥陀, amida, amida, の光も金次第, 阿弥陀の利益も寄進した金の多寡で決まる意で，すべてのことは金次第でどうにでもなるものだということ。阿弥陀も銭で光る。地獄の沙汰も金次第。
暗がりに鬼を繋ぐ, 暗がり, kuragari, kuragari, に鬼を繋ぐ, 真相を知ることができなくて，気味の悪いことのたとえ。
衣は骭に至り袖腕に至る, 衣, koromo, koromo, は骭に至り袖腕に至る, 短くなった着物を着て，脛と腕とをむきだしにしている。剛健なさまにいう。
一押し二金三男, 一, iti, iti, 押し二金三男, 思う女性を自分のものとするのに必要な条件は，第一に押しの強さ，第二に金の力，第三に男振りであるということ。一押し二金三姿。
一口物に頬を焼く, 一口, hitokuti, hitokuti, 物に頬を焼く, ちょっと手を出したために，意外な失敗を招くことのたとえ。
一人口は食えぬが二人口は食える, 一人口, hitoriguti, hitoriguti, は食えぬが二人口は食える, ⇒ 二人口は過ごせるが一人口は過ごせぬ」の句項目）
鰯の頭も信心から, 鰯, iwasi, iwasi, の頭も信心から, イワシの頭のようにとるにたらないものでも，信ずる気持ちがあれば尊いものに見える。信仰心の不思議さをたとえた語。
引く手数多, 引く手数多, hikuteamata, hikuteamata, , 誘いをかける人がたくさんいること。
陰陽師身の上知らず, 陰陽, in'yo-, in'you, 師身の上知らず, 他人の運命はわかっても，自分の運命はわからないものである。
雨降って地固まる, 雨, ame, ame, 降って地固まる, ごたごたや変事のあとでは，前よりも事態がよく治まることのたとえ。
雨晴れて笠を忘る, 雨, ame, ame, 晴れて笠を忘る, 苦しい時に受けた恩を，その時が過ぎると忘れることのたとえ。雨霽れて傘を忘れる。
鵜川の小鮎, 鵜川, ugawa, ugawa, の小鮎, 鵜飼いの行われる川にすむ鮎。どうしても逃れられないことのたとえ。
嘘と坊主の頭はいったことがない, 嘘, uso, uso, と坊主の頭はいったことがない, _を言ったことがない。
英雄色を好む, 英雄, eiyu-, eiyuu, 色を好む, 英雄というものは，力があふれているため女色を好むものだ。
煙も眉目よい方へならでは靡かぬ, 煙, kemuri, kemuri, も眉目よい方へならでは靡かぬ, 煙さえ美人の方へなびいて行く。だれも美人のそばへ寄りたがる。
縁と浮世は末を待て, 縁, en', en', と浮世は末を待て, 良縁と好機とは無理に求めず、自然に来るのを待つのがよい。縁と月日の末を待て。
縁なき衆生は度し難し, 縁, en', en', なき衆生は度し難し, 仏の広大な慈悲をもっても仏縁のない人は救えない。人の言葉を聞き入れない者は救いようがない。
縁に連るれば唐の物, 縁, en', en', に連るれば唐の物, 何かの縁で，思いもかけぬ疎遠なものとも関係が生じる意。
縁は異なもの味なもの, 縁, en', en', は異なもの味なもの, 男女の縁は常識では考えられない不思議でおもしろいものであるの意。縁は異なもの。
遠きは花の香近きは糞の香, 遠き, to-ki, tooki, は花の香近きは糞の香, 遠いものを尊び，近いものは軽んじるのが世の常であるというたとえ。
遠くて近きは男女の仲, 遠く, to-ku, tooku, て近きは男女の仲, 男女の仲の意外に結ばれやすいことにいう。
遠くの火事より背中の灸, 遠く, to-ku, tooku, の火事より背中の灸, 遠くの大事件より，自分の身の上の小事のほうが痛切に感じることのたとえ。
遠くの親類より近くの他人, 遠く, to-ku, tooku, の親類より近くの他人, いざという時には遠くにいたり疎遠にしている親類より，近くにいて親しくしている他人の方がかえって頼りになる。
往に跡へ行くとも死に跡へ行くな, 往に, ini, ini, 跡へ行くとも死に跡へ行くな, 先妻と離別したあとへ後妻に行くのはよいが，死別したあとへは行かない方がよい。憎くて別れたのと違い，死者への愛情が残っていて苦労が多いことをいう。
恩の腹は切らねど情けの腹は切る, 恩, on', on', の腹は切らねど情けの腹は切る, 恩に報いるために身を捨てる者は少ないが，義理人情のために身を捨てる者は多い。恩の死にはせねども義理の死にはする。
花は根に鳥は故巣に, 花, hana, hana, は根に鳥は故巣に, 咲いた花はその木の根もとに散ってこやしとなり，空飛ぶ鳥は巣に帰る。物事はすべてそのもとに帰るという意。
花は桜木人は武士, 花, hana, hana, は桜木人は武士, 花の中では桜が最もすぐれており，人の中では武士が最もすぐれているということ。
餓鬼の目に水見えず, 餓鬼, gaki, gaki, の目に水見えず, 餓鬼は飢渇が大変激しく，そのため水が近くにあっても気づかない意。熱望するあまり，かえって求めるものが見つからないことのたとえ。
蟹は甲羅に似せて穴を掘る, 蟹, kani, kani, は甲羅に似せて穴を掘る, 人は各々その分に応じた考えや行動をする。
